participant_id,wcst_exg_mu,wcst_exg_sigma,wcst_exg_tau,wcst_exg_correct_mu,wcst_exg_correct_sigma,wcst_exg_correct_tau
06qcrpGKL6Vc3LVplFQC90VAcRm1,600.1022625858225,77.26264548649947,480.95271947623036,504.5009175793756,10.0,530.146497099916
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,702.7754294148566,10.0,575.1189847963184,761.3943195323515,49.97792087076521,477.08118819605875
0d841i8KPjdjwCYfDuUUXj0SEjH2,821.4437999286594,163.38274524113174,897.0182034012322,867.8949029807981,172.33543796817068,839.6332157962598
0oa5NYVnIBS9NmrmRAZrahXDctP2,562.9689387261778,49.06412668004169,346.9193125847041,566.7376899532281,52.050755112564964,297.2178916740307
146QT9LupyU2BAiTsB3PMIpVXM22,719.7859077911405,123.81800915966218,413.29121779524064,716.6188744559556,124.46392326514356,372.4933554758189
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,681.0678522255342,10.0,1316.1533319937646,680.6533153127731,10.0,1210.5803294482716
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,780.6495024891385,78.31014415272081,1011.4700903218305,778.2344745412622,77.00947114002122,893.0229112902832
1fbLQPCcysVlSKup96K4yI5NX6G3,856.232171873831,171.2574774308138,573.4554536246575,879.3664458380398,193.46942775853017,456.83721230056176
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,818.0709834618893,124.2908971371888,732.9519165330743,887.8845085799783,158.0373445975119,540.2857267202991
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,838.5995721085162,186.76023304509255,635.2343569443183,679.5595590931998,10.0,895.8903097976691
23AEyocWhqY955WHbxhHRSgQ1ms2,770.4545846247968,138.4204622128152,668.6073301115133,786.4571978297867,150.24484692832033,497.7964362241507
23hG7h2ByUZDbmOMTDtp0HT0xRb2,508.24201573742334,10.0,1644.7108324995772,504.89436632136824,10.0,1374.9224501667272
28nQWMwCaSNFBEXlicY3eHqpwKU2,1144.53420007835,175.5459183401868,546.1249126782772,1165.4531268548146,195.99531889087143,483.33243825061135
2FHuv7L9nWPdbIiWHRIuXtcoyw83,835.8902879725059,233.62584436283578,483.41843182632164,795.3325261669346,217.10073202740008,485.72173705439053
2h5FgHUEvBS1twD5DqbTIRrMm1f2,636.3903896965091,102.1458198037569,1328.316934390392,661.1914199916455,81.15225403682356,1018.4619997451742
2zDXvJKvjeejeOSNbtDbtSI5cdz1,826.9989391737141,128.45088811501685,824.3455102289366,815.077221431089,126.6742003678372,795.4305808583932
3FSnTCSiUodLp5u3bE0xaUjLk0b2,851.2233806145467,106.11020312292293,497.52217401676927,873.1872068704744,99.18429874456405,407.8667246102808
3WijiOiVCoMbn80F05SPYsxl0TC2,775.5487503815143,105.6360160337187,779.4138900020403,790.5797684572503,112.96891908118415,547.7487316997261
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,762.5816551617787,128.36939578172394,483.1759764450077,762.6760265371694,128.1786238304306,497.1671166664451
3xCaqfcHxRQxuOlEzXz3PNcHODH2,725.48452882193,122.98800516397252,643.0167692430712,734.1739654620451,128.374448462576,566.2596602128239
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,658.5146786837498,114.11921225168666,649.8101850486789,658.73859503472,118.47960799886488,607.041563936552
50R0P1MIMvRvK1qpqfGROchII6R2,746.446361183229,169.14152621928,406.204863319732,726.2528161220843,173.0071397122149,381.9484507860624
5OOi73igsahMZ5IVKQwwyhnj4Cn2,926.2604477565378,167.4986576294293,906.320891090624,941.9271780320054,174.21672584762382,745.0410008247212
5Z68AKm9rIeeB2lVu3nJO7U31wk1,664.6586719520333,71.08034010305029,449.4768463389402,657.5216576058701,10.0,446.37351684860835
5rXSa3anB5ejmFrnwUsTB82byup1,646.32554027411,103.15292776219525,314.2294928190407,648.5494581124977,93.87385481994738,310.73914198949103
5zxa5CMLGQSSonWOXqXf0QNS3PH3,718.435238559134,10.0,520.9935132414314,717.7422100368234,10.0,477.0291728936104
62fAfeQc27bZelkPX7G54T3gvci2,875.9396206525313,84.67675562914624,967.8405905441749,846.5709760839611,10.0,937.7915836965292
6ABZuv4jbjgE0B8TeyUk6nwVb122,1296.6434393760726,181.57680882578526,686.7831298134894,1307.0536809323148,175.11010913403985,668.7880321411908
6OwhwWQDThSPHTVAeXugohrYuje2,850.7030535493932,110.48228507330286,910.7542000079294,1040.9485418301772,256.0313940292809,831.2935432533948
6WFCyGwk71XLPBmbe4Vav3eotVm1,735.723739483413,73.54324405144222,555.6778668874161,741.9944035785103,81.43427667417723,517.2970409879545
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1251.2151412992764,170.766073062609,496.39549880786836,1260.421436665638,173.1170790405797,402.96656614609947
80UJMJbCOMgs6YVpsMgXfYTzw6o2,710.2813998758123,25.594199198223503,710.2750942405235,848.8862677584907,121.8722227852264,397.98836758593023
87w5Le0CgZhSfYAaOH3Xd2fc98l1,925.6313444894421,53.094202260452384,1275.610981890509,943.0101083316557,65.5567524207485,759.6898620693285
8bwaafIhKVMNBoHaXFcY8HirS9u2,613.3466875696048,10.0,699.1428330880753,613.2421298428349,10.0,627.3750463357075
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,795.4521472363808,74.07791384032635,1094.297749296906,683.2303089493465,10.0,948.9457191316346
9NTZ091xWyOO8DgzyTGY0O3i8IR2,830.7653149108265,149.57508513065721,437.1704392359075,846.597549677768,156.93611024675312,379.98584153171754
9Xz1RIwnPXgyRqmucudW9VeuDnq1,862.9608878285355,76.79237640949935,562.7489806020591,863.459471709669,77.63126052032784,534.3627517472507
9l7DjYLs0XdgwykPZR5E01KTZfu2,617.1880925073777,10.0,921.8938763029763,616.2755036235569,10.0,901.9246395548686
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,579.9397347167392,10.0,957.2738092957717,579.078293072266,10.0,844.0405788728285
ASGvwW80q7VY7xFaLGZhVuErUQu2,901.6351145772487,171.7465543134735,583.1495609265532,898.7932213347412,165.57951902111344,618.6546136554424
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,866.4633125401468,152.9755890191666,846.6235866422321,734.0585836862768,10.0,846.4448279789445
AsXBOflrszVNKoFqbN61bMJqS0k2,794.9381197507312,62.03728052996558,504.00325474928655,785.7572795885528,64.79730528690007,544.3526790019946
AyAnuCaltBbpEYbudoyNzTvXlcC2,888.0760988417375,40.24902068262402,1224.9629895989872,904.2315214258152,46.666160959324806,969.320145889364
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,814.6968493050957,264.53102170533657,2309.9647188110503,833.062477574629,323.33863582639924,1887.2528728234913
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,823.3724323889528,85.89377791107637,450.5615245152328,826.0898363562917,92.96471889926735,418.5600429173478
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,1079.3626839939384,247.07434978258698,869.069771068115,1159.2937492909548,279.2750200956901,584.6830084178979
CDEoAyvS8feXLKMKsaZah9agEhF3,703.2456325782662,69.81884774570786,686.0323046956856,608.4516368061214,10.0,817.7567296964444
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,840.9587874005731,175.82959831267098,591.2119760026007,819.4013636563291,169.82040329358074,580.5628549889736
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,822.9901213500945,10.0,1041.3787329935722,1001.8645608795736,50.93959850433562,706.0569101396104
CUNlBEszJVRGK1jWlTaOaCqpDg53,810.5880126191745,160.00502983575078,597.0902345189747,543.0034197687853,10.0,860.0176081190225
Cbkx2NHyF3NrebzXGqNgSfiWent1,682.7423326232863,77.45779754034365,480.0212972935237,683.4818361093404,79.70127373117192,438.87524662276934
Co587hoelyeANqFX7AYvuVQW0lZ2,576.8664713305474,49.13552281918923,453.8627554343911,603.492263097644,64.79013487993667,320.37839327101443
CtJe4bZZnYUBNrcPk00d3YQFSGp2,856.959344684268,109.40631284996375,654.4143838341865,854.1243036538324,115.81433422945975,604.2604542988088
DAKDKPH698P12JfTbbjemLI6PIH2,638.0131547930434,10.0,725.2078834799895,640.1578467814205,10.0,532.3330980831638
DPvStUYSmohmXwFwaKRqHv89R3k1,851.4485535331847,72.32554595252495,715.8199579427836,742.7713630118559,10.0,809.8240052866528
DaRehVxIOhXtEtUExdgvUl0mKcx2,781.2234993032089,10.0,1259.0175882429728,775.5835077983146,10.0,1206.9061444815725
Df83JuPuJkXqTGbENhM2gw5SJM43,740.9475824744335,91.9104801178815,643.0458113611751,734.4011890699363,92.19089163203071,636.7674164700171
DxSidjznjVSNDJuDqqGgxpMEGtw1,1278.5662522371867,176.39065794791267,416.5822014320854,1291.9244915934414,183.76133432127992,401.77300454173167
DzB19GqCB7fyrlEPexogWkjFzEx2,792.7478755324344,10.0,960.8996584609898,1200.816847027221,286.60413684929466,418.72241048733537
EEodWwGh0wWq5f8JmzfKvq0lyeu1,550.3148218070841,10.0,667.841103155095,549.6283170888829,10.0,674.0761566179136
EUhcW9kURScie1DwGPHqmNqotJB2,1235.9460660137688,212.48092701465038,902.8263474008485,1273.7888507682644,175.60984112809655,710.1585137909713
EmfmKFDgWJdW47a6CNTNjnbYaPh2,922.8388396982315,122.68445717932386,822.9733725969055,746.4451287914669,10.0,951.3584265541355
EoToosG69XMp4LTYdB6sB9WTrv22,734.0340896108868,82.89733318546524,720.6285878206638,623.3877112229878,10.0,769.8478373061773
Fz7EUjZCLuUBxLDUVtN6djaBTy42,1301.6223289799134,211.07383918776094,515.0975123413814,1501.3878373092948,342.9031451927732,248.2367652939826
G1Ff3XYUZMRsPafyEQ80ussnVlf1,1004.6158311819923,108.78024100757061,671.0609590474136,1004.6308161585738,108.41015730562665,616.2800853214618
G9VruXninjUdE9czK2DambZl5li2,721.0172668249002,121.70949205366874,967.1541983004785,619.5873222989019,10.0,966.067759035504
GDZGRW51kbWtAdUIHCtEd8sAtqY2,1246.753618135857,12.241309052195337,565.3192836762873,1314.1975345742987,76.45358973119573,411.48523648377653
GE4hogtdLdTFbNasENgtm6SO3hC3,1243.520192951138,256.63463042540707,561.0221764911372,1269.6644618780988,265.171997826728,437.37511848483825
GEwkBw3YHaNp3TCh9YS9PKVfavz1,454.91569874776076,10.0,1003.4539634719982,453.1786957254264,10.0,996.7494604379069
HSggdq91WiQp16bOj7V3dABkcgk2,627.5499923518543,80.48825093862484,726.6977509686819,630.3447012554981,85.32371524904411,639.8646419457514
HbydnnT1hUP3WagAy2TJAc6GqVs2,961.9016602775497,10.0,916.9665978818717,961.4150448346264,10.0,886.0091488720806
HyQM2xKwwuVfqidmRYF6TiRk90C2,534.2514888517475,91.3404715582545,648.7112592557086,539.5030408709965,97.36978925611017,586.3099954743653
IaTJhUGICmO9xcL3605RW8QHneN2,694.6541186660853,146.62217397622268,574.628710870142,707.4069097752408,148.4364414821752,489.20459896182587
JOBWLirr6KYf3GXJ3jPFKmd48S93,847.1623138478096,10.0,778.8811259542998,846.4395764977378,10.0,714.6399967247115
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,784.2765418961535,101.90874400811971,499.12655544117933,784.2765418961535,101.90874400811971,499.12655544117933
JvrZiMHtAfP6gvQtlevYWafKy0z2,1255.049823397278,121.75108663670792,543.9539367463121,1292.6709030443203,140.14625170773857,404.2882651384406
K26uNuY0VNPjJNF26wEx3bFg0kr2,631.6832165462245,10.0,546.694323633923,630.4599039625525,10.0,550.8796087373223
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,783.298286098289,10.0,1285.9512529818387,797.0593440844964,21.4411797583186,891.1517508596748
KtKj6zUKc5Oogd2itg2jdwkchnf2,627.2650756439082,57.760543829507746,504.2526357974452,624.8054962166123,56.86837823526085,496.15405596962376
LSLmd8jENtONZFVkIpRDX665Bu73,1001.2748897700303,176.53776623399807,692.944032423834,1019.4495231567756,179.59846805101827,665.9168967782008
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,844.299446340054,70.32497427722231,548.2204221885403,843.4846615448033,58.83266587517768,564.5954150428905
LliUMEIsrCVZ88YFQfevan2Og4z1,591.3191431836822,93.38676060483918,565.5669672835057,578.3657024643854,84.68706684784665,532.5890216451589
M4Km1Q2P2oPliChDQkwl6k20FUI3,780.5096905883913,10.0,1036.9313730096637,798.2142386913387,18.34550717651036,867.0048868765476
O61Eik2zvrSQLMNpFbTNEgjWwMr2,1017.7632089574952,176.58390985341674,533.5768608205416,1063.2380824224829,197.71848558885455,405.420345850096
OExlWyngGfPrScDYjaRcv5PIAet1,696.7998119553778,10.0,646.0920999678622,697.5170164764661,10.407630006535227,585.7006252573406
ORuVuFPU5idz3fMoXTGsbwToW2j2,1015.5313946635093,171.58152316705855,616.2837524620014,978.9221443793657,162.76654481000512,620.4635165767838
ORvIk1xRWIQmKuLVe6GXNouvAXx2,1060.665756980867,119.24622307973526,1347.1556460235724,919.735960784758,10.0,1358.619710356258
P8mTl71XaYNvFMTCvlKpzzUdc9W2,809.8514976919954,64.21805653716231,534.9712133744841,819.4964421116662,70.04243151641835,446.224857716595
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,827.3755709186497,113.44766266305415,620.272165542062,840.9957668006529,129.76265971778187,564.4002672004738
PLreonkqaMeFc0UqxKUelH44UQu1,559.6608537574691,84.704522017494,838.5836941377506,539.2745496076517,80.26330621094273,822.9438785924135
PXesLO51qlY7lJBrLdOAZiHmUR72,478.3535257790836,10.0,3180.566268197204,2461.8614293477544,1645.2456157139025,1274.5608951937352
PkpTH7pWpEOG9A86xSloOSozwTk2,1354.105053209065,273.7975118267706,1578.940040948284,1116.724001380613,107.14012159590567,1841.051446017928
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,580.1343940408309,10.0,549.6660787960053,579.193130182989,10.0,525.2243751225892
QbOEVCaZLUMOgltUdXm58oZOALv2,1184.9820656925315,100.83712121175796,752.4030372305875,1178.4232516257239,104.5274229980831,651.8651148622156
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,883.130121477254,10.0,1315.496639659904,894.3235379878922,23.08163537275361,1211.1933161899442
QreA2rLiUhV3YHeMfuHMPdGbpJ53,927.4740610401042,79.58079212156672,514.8466589190197,966.8703607812664,92.40288646522629,441.1533789332228
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1045.3202147178633,219.003205194083,630.6022808974566,1046.3270509560953,218.83298508593404,612.7768379043158
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,773.7351387446286,115.21808949487993,1206.7373921105582,624.9350728724785,10.0,1293.6532768034506
Ru3Qf6pXZua1DfNkQdhbor6iJ403,746.6479701724519,10.0,1355.7591582405018,745.6903351864684,10.0,1255.882072721244
SOhR7IO689NQCPQu56SjATO8FR92,834.9332622117764,134.6591691576153,637.3152191692625,848.027063734772,150.60539167657032,512.1037621079134
SPCT9D90pRa1ihXS5jEw6vCmquI3,563.2388602763983,13.903622559789753,1410.8035420980245,575.769645044982,26.8042031428345,1074.7095265091777
SpSfX0ZcfcPLdlOENlfdfvEPwru2,730.7180539790692,121.82216067550415,559.3069784283624,741.1888058908437,127.16583891781478,454.2378114246421
SvtOrPatsnWjicxtyndEzSdO5Wp1,846.7995121752197,112.21042384923544,1112.2248158122375,844.3082150823859,118.15816380076089,1026.2368310941567
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,915.5212996978064,64.34880486680795,688.6101011818811,922.0079715504044,69.28759186269151,576.2401795474029
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,566.0417691064755,47.78814584254991,426.1566861282563,569.4206989384925,49.8020264298144,374.2507772362052
